promotion_id,store_id,store_name,neighborhood,promo_name,promo_type,item_name,item_category,start_date,end_date,base_price,discount_pct,discounted_price,estimated_unit_cost,gross_margin_dollars,gross_margin_pct,expected_lift_pct,actual_lift_pct,inventory_risk,recommended_action
PRO000111,SD005,Starbucks - North Park,North Park,Breakfast Combo Saver,Seasonal,Blonde Roast,Brewed Coffee,2024-10-22,2024-11-21,2.95,25,2.21,0.65,1.56,70.59,12.5,24.1,High,Monitor daily sell-through
PRO000112,SD005,Starbucks - North Park,North Park,Back to School Deal,Loyalty,Chai Tea Latte,Hot Tea,2024-01-11,2024-01-25,4.75,50,2.38,1.2,1.18,49.58,27.3,24.6,High,Monitor daily sell-through
PRO000113,SD005,Starbucks - North Park,North Park,Weekend Brunch Bundle,BOGO,Caramel Frappuccino,Frappuccino,2024-10-23,2024-11-06,5.75,25,4.31,1.85,2.46,57.08,43.3,47.3,High,Limit to high-traffic stores
PRO000114,SD005,Starbucks - North Park,North Park,Morning Rush Deal,New Item Launch,Chocolate Cookie,Bakery,2024-09-27,2024-10-11,2.95,5,2.8,0.9,1.9,67.86,11.6,8.2,Low,Add upsell training for baristas
PRO000115,SD005,Starbucks - North Park,North Park,Morning Rush Deal,Loyalty,Caffe Latte,Hot Espresso,2024-05-05,2024-05-26,5.45,25,4.09,1.55,2.54,62.1,14.6,22.5,High,Limit to high-traffic stores
PRO000116,SD005,Starbucks - North Park,North Park,Pink Drink Summer,Seasonal,Blueberry Muffin,Bakery,2024-09-10,2024-10-01,3.25,30,2.27,1.0,1.27,55.95,22.8,14.1,Medium,Add upsell training for baristas
PRO000117,SD005,Starbucks - North Park,North Park,App Exclusive Deal,Happy Hour,Chocolate Cookie,Bakery,2024-02-17,2024-02-24,2.95,50,1.48,0.9,0.58,39.19,43.1,49.2,High,Limit to high-traffic stores
PRO000118,SD005,Starbucks - North Park,North Park,Loyalty Double Stars,Happy Hour,Pink Drink,Refresher,2024-02-01,2024-03-02,5.25,10,4.73,1.45,3.28,69.34,40.7,32.9,Medium,Proceed as planned
PRO000119,SD005,Starbucks - North Park,North Park,Happy Hour Frappuccino,Seasonal,Iced Latte,Iced Espresso,2024-03-21,2024-04-11,5.65,50,2.83,1.6,1.23,43.46,19.9,31.8,High,Increase inventory buffer 15%
PRO000120,SD005,Starbucks - North Park,North Park,Birthday Month Promo,BOGO,Pike Place Roast,Brewed Coffee,2024-07-13,2024-07-27,3.45,50,1.73,0.8,0.93,53.76,12.8,11.1,Medium,Monitor daily sell-through
PRO000121,SD005,Starbucks - North Park,North Park,Padres Game Day Offer,Seasonal,Bacon Gouda Sandwich,Breakfast,2024-01-17,2024-01-31,5.25,10,4.73,2.1,2.63,55.6,22.1,31.1,High,Monitor daily sell-through
PRO000122,SD005,Starbucks - North Park,North Park,Morning Rush Deal,Loyalty,Protein Box,Lunch,2024-06-23,2024-07-07,6.95,25,5.21,2.8,2.41,46.26,14.3,20.0,Medium,Bundle with low-moving item
PRO000123,SD005,Starbucks - North Park,North Park,Summer Refresher Special,Happy Hour,Bacon Gouda Sandwich,Breakfast,2024-05-03,2024-05-24,5.25,10,4.73,2.1,2.63,55.6,14.8,1.2,Medium,Reduce discount to protect margin
PRO000124,SD005,Starbucks - North Park,North Park,App Exclusive Deal,Happy Hour,Caffe Latte,Hot Espresso,2024-07-22,2024-08-12,4.45,25,3.34,1.1,2.24,67.07,35.7,38.3,High,Limit to high-traffic stores
PRO000125,SD005,Starbucks - North Park,North Park,Breakfast Combo Saver,Discount,Iced Chai Tea Latte,Iced Tea,2024-09-07,2024-09-21,4.95,10,4.46,1.25,3.21,71.97,13.1,14.5,Low,Bundle with low-moving item
PRO000126,SD006,Starbucks - UTC Westfield,UTC,Student Discount Week,BOGO,Strawberry Acai Refresher,Refresher,2024-01-13,2024-01-20,5.45,5,5.18,1.4,3.78,72.97,43.4,38.6,High,Increase inventory buffer 15%
PRO000127,SD006,Starbucks - UTC Westfield,UTC,App Exclusive Deal,Loyalty,Caramel Macchiato,Hot Espresso,2024-06-15,2024-07-15,5.75,5,5.46,1.65,3.81,69.78,38.7,37.3,Medium,Proceed as planned
PRO000128,SD006,Starbucks - UTC Westfield,UTC,App Exclusive Deal,Discount,Cake Pop,Bakery,2024-07-18,2024-08-01,3.95,5,3.75,1.25,2.5,66.67,14.8,15.1,Low,Proceed as planned
PRO000129,SD006,Starbucks - UTC Westfield,UTC,Seasonal PSL Promo,New Item Launch,Blonde Roast,Brewed Coffee,2024-09-04,2024-09-25,2.45,20,1.96,0.55,1.41,71.94,18.8,31.2,Medium,Bundle with low-moving item
PRO000130,SD006,Starbucks - UTC Westfield,UTC,Breakfast Combo Saver,New Item Launch,Flat White,Hot Espresso,2024-01-10,2024-01-24,5.25,20,4.2,1.35,2.85,67.86,34.4,29.0,High,Monitor daily sell-through
PRO000131,SD006,Starbucks - UTC Westfield,UTC,New Drink Launch,New Item Launch,Matcha Tea Latte,Hot Tea,2024-08-20,2024-09-03,4.75,5,4.51,1.3,3.21,71.18,12.3,6.9,Medium,Bundle with low-moving item
PRO000132,SD006,Starbucks - UTC Westfield,UTC,Afternoon Iced Special,Discount,Pike Place Roast,Brewed Coffee,2024-10-02,2024-10-23,3.45,20,2.76,0.8,1.96,71.01,42.1,66.1,High,Monitor daily sell-through
PRO000133,SD006,Starbucks - UTC Westfield,UTC,Morning Rush Deal,Seasonal,Pink Drink,Refresher,2024-10-11,2024-10-25,5.75,30,4.02,1.65,2.37,58.96,13.1,22.3,High,Increase inventory buffer 15%
PRO000134,SD006,Starbucks - UTC Westfield,UTC,Padres Game Day Offer,New Item Launch,Java Chip Frappuccino,Frappuccino,2024-03-10,2024-03-17,6.45,10,5.81,2.25,3.56,61.27,37.2,33.9,High,Increase inventory buffer 15%
PRO000135,SD006,Starbucks - UTC Westfield,UTC,Back to School Deal,BOGO,Java Chip Frappuccino,Frappuccino,2024-09-02,2024-09-16,5.45,30,3.81,1.65,2.16,56.69,21.7,10.8,Medium,Bundle with low-moving item
PRO000136,SD006,Starbucks - UTC Westfield,UTC,Afternoon Iced Special,BOGO,Chocolate Cookie,Bakery,2024-03-04,2024-03-11,2.95,25,2.21,0.9,1.31,59.28,37.6,30.5,High,Limit to high-traffic stores
PRO000137,SD006,Starbucks - UTC Westfield,UTC,Beach Vibes Bundle,Happy Hour,Mango Dragonfruit Refresher,Refresher,2024-03-11,2024-03-18,5.95,10,5.36,1.6,3.76,70.15,37.5,36.0,Medium,Proceed as planned
PRO000138,SD006,Starbucks - UTC Westfield,UTC,Seasonal PSL Promo,New Item Launch,Iced Matcha Tea Latte,Iced Tea,2024-09-07,2024-09-28,5.45,20,4.36,1.6,2.76,63.3,15.6,14.5,Medium,Proceed as planned
PRO000139,SD006,Starbucks - UTC Westfield,UTC,New Drink Launch,Happy Hour,Protein Box,Lunch,2024-05-21,2024-06-04,6.95,20,5.56,2.8,2.76,49.64,29.5,29.0,High,Increase inventory buffer 15%
PRO000140,SD006,Starbucks - UTC Westfield,UTC,Breakfast Combo Saver,Seasonal,Caramel Macchiato,Hot Espresso,2024-07-13,2024-08-03,5.25,30,3.67,1.4,2.27,61.85,14.3,8.1,Medium,Bundle with low-moving item
PRO000141,SD006,Starbucks - UTC Westfield,UTC,Birthday Month Promo,Bundle,Iced Matcha Tea Latte,Iced Tea,2024-09-03,2024-09-10,4.95,25,3.71,1.35,2.36,63.61,18.1,19.7,Medium,Monitor daily sell-through
PRO000142,SD006,Starbucks - UTC Westfield,UTC,Loyalty Double Stars,BOGO,Iced Americano,Iced Espresso,2024-04-08,2024-04-15,4.15,10,3.74,1.0,2.74,73.26,32.0,22.8,High,Monitor daily sell-through
PRO000143,SD006,Starbucks - UTC Westfield,UTC,Weekend Brunch Bundle,BOGO,Pike Place Roast,Brewed Coffee,2024-02-15,2024-02-22,3.95,10,3.56,0.95,2.61,73.31,17.4,31.2,Medium,Extend promotion by 1 week
PRO000144,SD006,Starbucks - UTC Westfield,UTC,App Exclusive Deal,Happy Hour,Matcha Tea Latte,Hot Tea,2024-02-18,2024-03-03,5.25,5,4.99,1.55,3.44,68.94,22.4,20.9,High,Limit to high-traffic stores
PRO000145,SD006,Starbucks - UTC Westfield,UTC,Evening Wind-Down Offer,Bundle,Matcha Tea Latte,Hot Tea,2024-02-04,2024-02-25,5.25,5,4.99,1.55,3.44,68.94,15.6,17.1,Low,Proceed as planned
PRO000146,SD006,Starbucks - UTC Westfield,UTC,Morning Rush Deal,Discount,Strawberry Acai Refresher,Refresher,2024-02-10,2024-03-11,4.95,10,4.46,1.2,3.26,73.09,24.7,18.1,Medium,Increase inventory buffer 15%
PRO000147,SD006,Starbucks - UTC Westfield,UTC,Happy Hour Frappuccino,New Item Launch,Turkey Sandwich,Lunch,2024-09-16,2024-10-07,7.95,20,6.36,3.2,3.16,49.69,27.3,34.7,High,Increase inventory buffer 15%
PRO000148,SD006,Starbucks - UTC Westfield,UTC,App Exclusive Deal,BOGO,Cappuccino,Hot Espresso,2024-06-08,2024-07-08,4.95,15,4.21,1.3,2.91,69.12,10.5,25.8,Medium,Bundle with low-moving item
PRO000149,SD006,Starbucks - UTC Westfield,UTC,Student Discount Week,Discount,Pike Place Roast,Brewed Coffee,2024-01-04,2024-01-11,3.95,50,1.98,0.95,1.03,52.02,41.1,53.1,High,Monitor daily sell-through
PRO000150,SD006,Starbucks - UTC Westfield,UTC,Reusable Cup Discount,New Item Launch,Caramel Frappuccino,Frappuccino,2024-09-25,2024-10-16,5.25,25,3.94,1.55,2.39,60.66,18.1,8.9,Medium,Add upsell training for baristas
PRO000151,SD007,Starbucks - Hillcrest,Hillcrest,Birthday Month Promo,Discount,Vanilla Bean Frappuccino,Frappuccino,2024-02-22,2024-03-07,5.95,50,2.98,2.05,0.93,31.21,24.1,29.5,High,Increase inventory buffer 15%
PRO000152,SD007,Starbucks - Hillcrest,Hillcrest,Breakfast Combo Saver,BOGO,Iced Americano,Iced Espresso,2024-02-27,2024-03-12,4.65,5,4.42,1.2,3.22,72.85,27.4,29.6,Medium,Proceed as planned
PRO000153,SD007,Starbucks - Hillcrest,Hillcrest,Student Discount Week,Bundle,Iced Caramel Macchiato,Iced Espresso,2024-06-16,2024-06-23,5.95,50,2.98,1.7,1.28,42.95,27.9,27.8,Medium,Reduce discount to protect margin
PRO000154,SD007,Starbucks - Hillcrest,Hillcrest,Evening Wind-Down Offer,BOGO,Caffe Americano,Hot Espresso,2024-02-08,2024-02-29,3.45,50,1.73,0.8,0.93,53.76,23.7,24.6,High,Limit to high-traffic stores
PRO000155,SD007,Starbucks - Hillcrest,Hillcrest,Weekend Brunch Bundle,Happy Hour,Blonde Roast,Brewed Coffee,2024-05-21,2024-06-04,2.95,5,2.8,0.65,2.15,76.79,33.4,22.5,Medium,Bundle with low-moving item
PRO000156,SD007,Starbucks - Hillcrest,Hillcrest,App Exclusive Deal,Happy Hour,Caramel Macchiato,Hot Espresso,2024-10-21,2024-10-28,6.25,15,5.31,1.9,3.41,64.22,39.9,49.6,High,Limit to high-traffic stores
PRO000157,SD007,Starbucks - Hillcrest,Hillcrest,Weekend Brunch Bundle,Bundle,Blueberry Muffin,Bakery,2024-06-13,2024-06-27,3.25,15,2.76,1.0,1.76,63.77,37.5,35.2,Medium,Increase inventory buffer 15%
PRO000158,SD007,Starbucks - Hillcrest,Hillcrest,Weekend Brunch Bundle,Loyalty,Iced Latte,Iced Espresso,2024-03-22,2024-04-05,4.65,15,3.95,1.15,2.8,70.89,14.5,7.5,High,Monitor daily sell-through
PRO000159,SD007,Starbucks - Hillcrest,Hillcrest,Breakfast Combo Saver,Seasonal,Java Chip Frappuccino,Frappuccino,2024-09-24,2024-10-24,6.45,10,5.81,2.25,3.56,61.27,39.5,45.0,High,Monitor daily sell-through
PRO000160,SD007,Starbucks - Hillcrest,Hillcrest,Birthday Month Promo,New Item Launch,Chai Tea Latte,Hot Tea,2024-01-13,2024-02-12,4.75,5,4.51,1.2,3.31,73.39,36.8,39.4,High,Increase inventory buffer 15%
PRO000161,SD007,Starbucks - Hillcrest,Hillcrest,Pink Drink Summer,BOGO,Caramel Macchiato,Hot Espresso,2024-01-11,2024-01-25,5.75,30,4.02,1.65,2.37,58.96,11.6,17.7,Medium,Bundle with low-moving item
PRO000162,SD007,Starbucks - Hillcrest,Hillcrest,Pink Drink Summer,Discount,Protein Box,Lunch,2024-08-26,2024-09-16,6.95,50,3.48,2.8,0.68,19.54,15.7,10.4,Medium,Reduce discount to protect margin
PRO000163,SD007,Starbucks - Hillcrest,Hillcrest,Pink Drink Summer,New Item Launch,Protein Box,Lunch,2024-07-17,2024-07-24,6.95,30,4.87,2.8,2.07,42.51,44.1,40.0,High,Monitor daily sell-through
PRO000164,SD007,Starbucks - Hillcrest,Hillcrest,Afternoon Iced Special,Bundle,Vanilla Latte,Hot Espresso,2024-01-05,2024-01-26,5.95,50,2.98,1.75,1.23,41.28,28.3,15.7,Medium,Add upsell training for baristas
PRO000165,SD007,Starbucks - Hillcrest,Hillcrest,Afternoon Iced Special,Discount,Cappuccino,Hot Espresso,2024-01-01,2024-01-31,4.95,50,2.48,1.3,1.18,47.58,34.1,29.3,High,Monitor daily sell-through
PRO000166,SD007,Starbucks - Hillcrest,Hillcrest,Weekend Brunch Bundle,Discount,Iced Matcha Tea Latte,Iced Tea,2024-08-05,2024-09-04,5.45,15,4.63,1.6,3.03,65.44,18.0,15.9,High,Limit to high-traffic stores
PRO000167,SD007,Starbucks - Hillcrest,Hillcrest,Seasonal PSL Promo,Discount,Iced Matcha Tea Latte,Iced Tea,2024-10-03,2024-10-10,4.95,30,3.46,1.35,2.11,60.98,44.0,39.6,High,Increase inventory buffer 15%
PRO000168,SD007,Starbucks - Hillcrest,Hillcrest,App Exclusive Deal,Bundle,Caffe Americano,Hot Espresso,2024-06-28,2024-07-19,3.45,25,2.59,0.8,1.79,69.11,36.8,32.9,High,Increase inventory buffer 15%
PRO000169,SD007,Starbucks - Hillcrest,Hillcrest,Morning Rush Deal,Loyalty,Chocolate Cookie,Bakery,2024-09-18,2024-09-25,2.95,30,2.06,0.9,1.16,56.31,23.9,17.7,High,Limit to high-traffic stores
PRO000170,SD007,Starbucks - Hillcrest,Hillcrest,Reusable Cup Discount,BOGO,Nitro Cold Brew,Iced Espresso,2024-06-01,2024-06-22,5.75,10,5.17,1.65,3.52,68.09,22.7,30.1,Medium,Extend promotion by 1 week
PRO000171,SD007,Starbucks - Hillcrest,Hillcrest,Padres Game Day Offer,Bundle,Butter Croissant,Bakery,2024-04-24,2024-05-08,3.45,30,2.42,1.1,1.32,54.55,20.0,12.7,High,Increase inventory buffer 15%
PRO000172,SD007,Starbucks - Hillcrest,Hillcrest,Birthday Month Promo,Loyalty,Iced Caramel Macchiato,Iced Espresso,2024-01-29,2024-02-05,5.45,30,3.81,1.45,2.36,61.94,22.8,26.5,Medium,Extend promotion by 1 week
PRO000173,SD007,Starbucks - Hillcrest,Hillcrest,Happy Hour Frappuccino,Bundle,Pumpkin Spice Latte,Hot Espresso,2024-02-14,2024-02-21,6.45,30,4.51,2.05,2.46,54.55,17.5,20.0,High,Limit to high-traffic stores
PRO000174,SD007,Starbucks - Hillcrest,Hillcrest,Weekend Brunch Bundle,BOGO,Mocha Frappuccino,Frappuccino,2024-03-04,2024-04-03,5.25,20,4.2,1.6,2.6,61.9,33.3,42.6,Medium,Bundle with low-moving item
PRO000175,SD007,Starbucks - Hillcrest,Hillcrest,Evening Wind-Down Offer,Discount,Pink Drink,Refresher,2024-02-07,2024-02-28,5.25,50,2.62,1.45,1.17,44.66,17.7,12.8,Medium,Monitor daily sell-through
PRO000176,SD008,Starbucks - San Diego Airport,Airport,Beach Vibes Bundle,Seasonal,Pink Drink,Refresher,2024-06-25,2024-07-02,5.25,10,4.73,1.45,3.28,69.34,15.3,24.2,Low,Bundle with low-moving item
PRO000177,SD008,Starbucks - San Diego Airport,Airport,Afternoon Iced Special,Happy Hour,Protein Box,Lunch,2024-10-17,2024-11-16,6.95,20,5.56,2.8,2.76,49.64,21.4,20.6,Medium,Extend promotion by 1 week
PRO000178,SD008,Starbucks - San Diego Airport,Airport,Loyalty Double Stars,BOGO,Java Chip Frappuccino,Frappuccino,2024-03-17,2024-03-31,5.45,5,5.18,1.65,3.53,68.15,20.6,8.6,Medium,Add upsell training for baristas
PRO000179,SD008,Starbucks - San Diego Airport,Airport,Breakfast Combo Saver,Discount,Pike Place Roast,Brewed Coffee,2024-01-22,2024-02-12,2.95,5,2.8,0.65,2.15,76.79,29.9,25.2,High,Increase inventory buffer 15%
PRO000180,SD008,Starbucks - San Diego Airport,Airport,Evening Wind-Down Offer,Seasonal,Protein Box,Lunch,2024-02-15,2024-03-07,6.95,20,5.56,2.8,2.76,49.64,16.3,9.2,High,Monitor daily sell-through
PRO000181,SD008,Starbucks - San Diego Airport,Airport,Padres Game Day Offer,Discount,Iced Caramel Macchiato,Iced Espresso,2024-02-28,2024-03-20,5.45,5,5.18,1.45,3.73,72.01,20.2,13.8,High,Increase inventory buffer 15%
PRO000182,SD008,Starbucks - San Diego Airport,Airport,Evening Wind-Down Offer,Bundle,Protein Box,Lunch,2024-03-07,2024-03-28,6.95,30,4.87,2.8,2.07,42.51,21.7,17.3,Medium,Monitor daily sell-through
PRO000183,SD008,Starbucks - San Diego Airport,Airport,Beach Vibes Bundle,Discount,Iced Americano,Iced Espresso,2024-07-12,2024-08-02,4.15,20,3.32,1.0,2.32,69.88,20.1,25.4,Medium,Extend promotion by 1 week
PRO000184,SD008,Starbucks - San Diego Airport,Airport,Seasonal PSL Promo,Discount,Caffe Americano,Hot Espresso,2024-06-07,2024-06-21,3.45,20,2.76,0.8,1.96,71.01,10.2,16.1,High,Limit to high-traffic stores
PRO000185,SD008,Starbucks - San Diego Airport,Airport,Birthday Month Promo,Bundle,Blueberry Muffin,Bakery,2024-04-23,2024-05-07,3.25,15,2.76,1.0,1.76,63.77,36.9,32.9,Medium,Limit to high-traffic stores
PRO000186,SD008,Starbucks - San Diego Airport,Airport,Back to School Deal,Seasonal,Vanilla Latte,Hot Espresso,2024-09-29,2024-10-06,5.95,20,4.76,1.75,3.01,63.24,25.1,36.2,Medium,Extend promotion by 1 week
PRO000187,SD008,Starbucks - San Diego Airport,Airport,Back to School Deal,Happy Hour,Pink Drink,Refresher,2024-07-26,2024-08-02,4.75,10,4.28,1.2,3.08,71.96,12.7,13.6,Low,Add upsell training for baristas
PRO000188,SD008,Starbucks - San Diego Airport,Airport,New Drink Launch,Seasonal,Strawberry Acai Refresher,Refresher,2024-03-20,2024-03-27,5.45,5,5.18,1.4,3.78,72.97,26.7,16.6,High,Increase inventory buffer 15%
PRO000189,SD008,Starbucks - San Diego Airport,Airport,Cold Brew Weekend,New Item Launch,Butter Croissant,Bakery,2024-06-02,2024-06-09,3.45,25,2.59,1.1,1.49,57.53,14.8,35.1,Medium,Bundle with low-moving item
PRO000190,SD008,Starbucks - San Diego Airport,Airport,Birthday Month Promo,New Item Launch,Spinach Feta Wrap,Breakfast,2024-06-11,2024-06-18,5.25,20,4.2,2.05,2.15,51.19,39.5,35.3,Medium,Monitor daily sell-through
PRO000191,SD008,Starbucks - San Diego Airport,Airport,Afternoon Iced Special,Loyalty,Turkey Sandwich,Lunch,2024-07-09,2024-07-16,7.95,25,5.96,3.2,2.76,46.31,13.5,14.4,High,Limit to high-traffic stores
PRO000192,SD008,Starbucks - San Diego Airport,Airport,Student Discount Week,New Item Launch,Cake Pop,Bakery,2024-02-01,2024-02-15,3.95,15,3.36,1.25,2.11,62.8,29.8,23.9,High,Limit to high-traffic stores
PRO000193,SD008,Starbucks - San Diego Airport,Airport,Padres Game Day Offer,Discount,Mocha Frappuccino,Frappuccino,2024-08-01,2024-08-08,5.75,50,2.88,1.9,0.98,34.03,36.9,35.9,High,Limit to high-traffic stores
PRO000194,SD008,Starbucks - San Diego Airport,Airport,Cold Brew Weekend,New Item Launch,Blueberry Muffin,Bakery,2024-09-19,2024-09-26,3.25,30,2.27,1.0,1.27,55.95,15.1,17.8,High,Monitor daily sell-through
PRO000195,SD008,Starbucks - San Diego Airport,Airport,Pink Drink Summer,Seasonal,Caffe Latte,Hot Espresso,2024-08-25,2024-09-08,4.95,5,4.7,1.3,3.4,72.34,19.7,28.9,Low,Bundle with low-moving item
PRO000196,SD008,Starbucks - San Diego Airport,Airport,Birthday Month Promo,New Item Launch,Caffe Americano,Hot Espresso,2024-10-06,2024-10-20,4.45,5,4.23,1.1,3.13,74.0,16.2,25.6,Medium,Extend promotion by 1 week
PRO000197,SD008,Starbucks - San Diego Airport,Airport,Back to School Deal,Bundle,Butter Croissant,Bakery,2024-09-02,2024-09-23,3.45,15,2.93,1.1,1.83,62.46,32.9,23.5,Medium,Bundle with low-moving item
PRO000198,SD008,Starbucks - San Diego Airport,Airport,Padres Game Day Offer,New Item Launch,Iced Caramel Macchiato,Iced Espresso,2024-09-23,2024-10-23,5.95,10,5.36,1.7,3.66,68.28,42.2,47.6,Medium,Extend promotion by 1 week
PRO000199,SD008,Starbucks - San Diego Airport,Airport,Matcha Mania,New Item Launch,Caramel Macchiato,Hot Espresso,2024-02-25,2024-03-03,6.25,20,5.0,1.9,3.1,62.0,33.7,42.8,Medium,Extend promotion by 1 week
PRO000200,SD008,Starbucks - San Diego Airport,Airport,Student Discount Week,BOGO,Bacon Gouda Sandwich,Breakfast,2024-03-03,2024-04-02,5.25,50,2.62,2.1,0.52,19.85,27.8,26.1,High,Reduce discount to protect margin
PRO000201,SD009,Starbucks - Del Mar Plaza,Del Mar,Back to School Deal,Discount,Iced Chai Tea Latte,Iced Tea,2024-03-15,2024-03-29,5.45,20,4.36,1.5,2.86,65.6,36.0,30.6,Medium,Increase inventory buffer 15%
PRO000202,SD009,Starbucks - Del Mar Plaza,Del Mar,Breakfast Combo Saver,Happy Hour,Iced Latte,Iced Espresso,2024-03-29,2024-04-28,4.65,20,3.72,1.15,2.57,69.09,24.4,20.0,High,Limit to high-traffic stores
PRO000203,SD009,Starbucks - Del Mar Plaza,Del Mar,Summer Refresher Special,Happy Hour,Protein Box,Lunch,2024-07-29,2024-08-12,6.95,25,5.21,2.8,2.41,46.26,40.7,41.2,High,Monitor daily sell-through
PRO000204,SD009,Starbucks - Del Mar Plaza,Del Mar,Loyalty Double Stars,Discount,Iced Latte,Iced Espresso,2024-07-09,2024-07-30,4.65,10,4.19,1.15,3.04,72.55,30.3,32.9,Medium,Proceed as planned
PRO000205,SD009,Starbucks - Del Mar Plaza,Del Mar,Summer Refresher Special,Bundle,Pink Drink,Refresher,2024-05-11,2024-06-01,6.25,5,5.94,1.85,4.09,68.86,23.4,28.8,Medium,Extend promotion by 1 week
PRO000206,SD009,Starbucks - Del Mar Plaza,Del Mar,Back to School Deal,BOGO,Mocha Frappuccino,Frappuccino,2024-06-28,2024-07-12,5.75,5,5.46,1.9,3.56,65.2,18.3,20.1,Low,Increase inventory buffer 15%
PRO000207,SD009,Starbucks - Del Mar Plaza,Del Mar,Pink Drink Summer,Seasonal,Strawberry Acai Refresher,Refresher,2024-09-18,2024-10-18,4.95,10,4.46,1.2,3.26,73.09,26.2,27.6,Medium,Extend promotion by 1 week
PRO000208,SD009,Starbucks - Del Mar Plaza,Del Mar,Student Discount Week,BOGO,Caramel Frappuccino,Frappuccino,2024-06-22,2024-07-22,6.25,15,5.31,2.15,3.16,59.51,30.5,29.2,Medium,Add upsell training for baristas
PRO000209,SD009,Starbucks - Del Mar Plaza,Del Mar,Pink Drink Summer,Seasonal,Vanilla Bean Frappuccino,Frappuccino,2024-07-28,2024-08-27,5.45,5,5.18,1.75,3.43,66.22,25.5,20.0,High,Increase inventory buffer 15%
PRO000210,SD009,Starbucks - Del Mar Plaza,Del Mar,Matcha Mania,Happy Hour,Caramel Frappuccino,Frappuccino,2024-10-14,2024-11-04,6.25,15,5.31,2.15,3.16,59.51,18.9,24.1,High,Limit to high-traffic stores
PRO000211,SD009,Starbucks - Del Mar Plaza,Del Mar,App Exclusive Deal,BOGO,Mocha Frappuccino,Frappuccino,2024-01-08,2024-02-07,6.25,5,5.94,2.2,3.74,62.96,12.8,14.6,Low,Extend promotion by 1 week
PRO000212,SD009,Starbucks - Del Mar Plaza,Del Mar,Loyalty Double Stars,New Item Launch,Pink Drink,Refresher,2024-07-30,2024-08-20,5.75,25,4.31,1.65,2.66,61.72,42.7,52.9,High,Limit to high-traffic stores
PRO000213,SD009,Starbucks - Del Mar Plaza,Del Mar,Back to School Deal,Bundle,Protein Box,Lunch,2024-09-03,2024-09-17,6.95,50,3.48,2.8,0.68,19.54,31.4,29.8,High,Reduce discount to protect margin
PRO000214,SD009,Starbucks - Del Mar Plaza,Del Mar,Afternoon Iced Special,Bundle,Iced Americano,Iced Espresso,2024-07-03,2024-07-17,4.65,30,3.25,1.2,2.05,63.08,20.2,17.6,High,Increase inventory buffer 15%
PRO000215,SD009,Starbucks - Del Mar Plaza,Del Mar,Evening Wind-Down Offer,New Item Launch,Iced Matcha Tea Latte,Iced Tea,2024-10-21,2024-11-11,4.95,5,4.7,1.35,3.35,71.28,21.6,17.6,Medium,Proceed as planned
PRO000216,SD009,Starbucks - Del Mar Plaza,Del Mar,Loyalty Double Stars,Seasonal,Cold Brew Coffee,Iced Espresso,2024-04-02,2024-04-23,4.25,5,4.04,1.05,2.99,74.01,23.8,39.1,High,Limit to high-traffic stores
PRO000217,SD009,Starbucks - Del Mar Plaza,Del Mar,New Drink Launch,BOGO,Turkey Sandwich,Lunch,2024-08-24,2024-09-14,7.95,25,5.96,3.2,2.76,46.31,21.7,21.5,High,Increase inventory buffer 15%
PRO000218,SD009,Starbucks - Del Mar Plaza,Del Mar,Cold Brew Weekend,New Item Launch,Blonde Roast,Brewed Coffee,2024-04-10,2024-05-01,2.45,10,2.21,0.55,1.66,75.11,37.6,40.6,High,Limit to high-traffic stores
PRO000219,SD009,Starbucks - Del Mar Plaza,Del Mar,Back to School Deal,BOGO,Protein Box,Lunch,2024-03-05,2024-03-19,6.95,5,6.6,2.8,3.8,57.58,13.9,16.6,Medium,Bundle with low-moving item
PRO000220,SD009,Starbucks - Del Mar Plaza,Del Mar,Loyalty Double Stars,Bundle,Iced Chai Tea Latte,Iced Tea,2024-07-11,2024-08-01,4.95,10,4.46,1.25,3.21,71.97,33.0,28.8,Medium,Increase inventory buffer 15%
PRO000221,SD009,Starbucks - Del Mar Plaza,Del Mar,Seasonal PSL Promo,New Item Launch,Chai Tea Latte,Hot Tea,2024-03-06,2024-03-20,5.25,25,3.94,1.45,2.49,63.2,39.4,36.0,High,Monitor daily sell-through
PRO000222,SD009,Starbucks - Del Mar Plaza,Del Mar,Back to School Deal,Seasonal,Caramel Macchiato,Hot Espresso,2024-03-08,2024-04-07,5.75,30,4.02,1.65,2.37,58.96,30.5,34.6,High,Limit to high-traffic stores
PRO000223,SD009,Starbucks - Del Mar Plaza,Del Mar,Student Discount Week,Bundle,Chai Tea Latte,Hot Tea,2024-05-21,2024-06-11,4.75,50,2.38,1.2,1.18,49.58,12.1,11.9,High,Increase inventory buffer 15%
PRO000224,SD009,Starbucks - Del Mar Plaza,Del Mar,Afternoon Iced Special,BOGO,Turkey Sandwich,Lunch,2024-04-18,2024-05-02,7.95,30,5.56,3.2,2.36,42.45,13.5,24.4,Medium,Extend promotion by 1 week
PRO000225,SD009,Starbucks - Del Mar Plaza,Del Mar,Reusable Cup Discount,Happy Hour,Bacon Gouda Sandwich,Breakfast,2024-04-13,2024-04-20,5.25,10,4.73,2.1,2.63,55.6,41.1,42.5,Medium,Proceed as planned
