Category,Subcategory,Item,Size,Size_oz,Calories,Fat_g,Saturated_Fat_g,Trans_Fat_g,Carbs_g,Fiber_g,Sugar_g,Protein_g,Sodium_mg,Caffeine_mg,Seasonal,Key_Ingredients,Vegan,Gluten_Free,Notes
Frappuccino,Coffee,Mocha Frappuccino,Venti,24,470,14,9,0,80,2,77,9,390,180,No,"Ice, 2% milk, coffee frappuccino syrup, mocha sauce, whipped cream",No,No,""
Frappuccino,Coffee,White Chocolate Mocha Frappuccino,Tall,12,280,10,7,0,44,0,44,5,200,75,No,"Ice, 2% milk, coffee frappuccino syrup, white chocolate mocha sauce, whipped cream",No,No,""
Frappuccino,Coffee,White Chocolate Mocha Frappuccino,Grande,16,420,15,10,0,66,0,65,8,295,95,No,"Ice, 2% milk, coffee frappuccino syrup, white chocolate mocha sauce, whipped cream",No,No,""
Frappuccino,Coffee,White Chocolate Mocha Frappuccino,Venti,24,500,18,13,0,80,0,79,9,370,130,No,"Ice, 2% milk, coffee frappuccino syrup, white chocolate mocha sauce, whipped cream",No,No,""
Frappuccino,Coffee,Mocha Cookie Crumble Frappuccino,Tall,12,350,15,9,0,51,2,49,6,290,95,No,"Ice, 2% milk, coffee frappuccino syrup, mocha sauce, Frappuccino chips, cookie crumbles, whipped cream",No,No,""
Frappuccino,Coffee,Mocha Cookie Crumble Frappuccino,Grande,16,480,21,13,0,71,2,68,8,410,130,No,"Ice, 2% milk, coffee frappuccino syrup, mocha sauce, Frappuccino chips, cookie crumbles, whipped cream",No,No,""
Frappuccino,Coffee,Mocha Cookie Crumble Frappuccino,Venti,24,590,26,16,0,87,3,83,10,510,180,No,"Ice, 2% milk, coffee frappuccino syrup, mocha sauce, Frappuccino chips, cookie crumbles, whipped cream",No,No,""
Frappuccino,Coffee,Caramel Ribbon Crunch Frappuccino,Tall,12,330,12,8,0,53,0,52,5,240,65,No,"Ice, 2% milk, coffee frappuccino syrup, dark caramel sauce, caramel drizzle, caramel sugar, whipped cream",No,No,""
Frappuccino,Coffee,Caramel Ribbon Crunch Frappuccino,Grande,16,470,17,11,0,76,0,75,7,345,90,No,"Ice, 2% milk, coffee frappuccino syrup, dark caramel sauce, caramel drizzle, caramel sugar, whipped cream",No,No,""
Frappuccino,Coffee,Caramel Ribbon Crunch Frappuccino,Venti,24,570,21,14,0,93,0,91,9,430,130,No,"Ice, 2% milk, coffee frappuccino syrup, dark caramel sauce, caramel drizzle, caramel sugar, whipped cream",No,No,""
Frappuccino,Creme,Vanilla Bean Creme Frappuccino,Tall,12,260,8,5,0,43,0,42,4,150,0,No,"Ice, 2% milk, vanilla bean powder, whipped cream",No,No,"No caffeine"
Frappuccino,Creme,Vanilla Bean Creme Frappuccino,Grande,16,380,12,8,0,62,0,61,6,215,0,No,"Ice, 2% milk, vanilla bean powder, whipped cream",No,No,""
Frappuccino,Creme,Vanilla Bean Creme Frappuccino,Venti,24,470,15,10,0,77,0,75,7,270,0,No,"Ice, 2% milk, vanilla bean powder, whipped cream",No,No,""
Frappuccino,Creme,Strawberry Creme Frappuccino,Tall,12,250,8,5,0,43,0,40,4,140,0,No,"Ice, 2% milk, strawberry puree, classic syrup, whipped cream",No,No,"No caffeine"
Frappuccino,Creme,Strawberry Creme Frappuccino,Grande,16,370,12,8,0,63,0,59,6,200,0,No,"Ice, 2% milk, strawberry puree, classic syrup, whipped cream",No,No,""
Frappuccino,Creme,Strawberry Creme Frappuccino,Venti,24,460,15,10,0,79,0,74,7,255,0,No,"Ice, 2% milk, strawberry puree, classic syrup, whipped cream",No,No,""
Frappuccino,Creme,Double Chocolaty Chip Creme Frappuccino,Tall,12,290,12,8,0,44,1,42,4,180,15,No,"Ice, 2% milk, mocha sauce, Frappuccino chips, whipped cream, mocha drizzle",No,No,"Minimal caffeine from chips"
Frappuccino,Creme,Double Chocolaty Chip Creme Frappuccino,Grande,16,410,17,11,0,63,2,60,6,260,20,No,"Ice, 2% milk, mocha sauce, Frappuccino chips, whipped cream, mocha drizzle",No,No,""
Frappuccino,Creme,Double Chocolaty Chip Creme Frappuccino,Venti,24,510,21,14,0,79,2,76,8,325,25,No,"Ice, 2% milk, mocha sauce, Frappuccino chips, whipped cream, mocha drizzle",No,No,""
Frappuccino,Creme,Matcha Creme Frappuccino,Tall,12,300,10,7,0,50,0,47,5,170,70,No,"Ice, 2% milk, matcha tea blend, classic syrup, whipped cream",No,No,""
Frappuccino,Creme,Matcha Creme Frappuccino,Grande,16,420,14,9,0,72,1,68,7,240,95,No,"Ice, 2% milk, matcha tea blend, classic syrup, whipped cream",No,No,""
Frappuccino,Creme,Matcha Creme Frappuccino,Venti,24,520,18,12,0,90,1,85,9,300,125,No,"Ice, 2% milk, matcha tea blend, classic syrup, whipped cream",No,No,""
Frappuccino,Creme,White Chocolate Creme Frappuccino,Tall,12,250,8,6,0,41,0,41,4,190,0,No,"Ice, 2% milk, white chocolate mocha sauce, whipped cream",No,No,"No caffeine"
Frappuccino,Creme,White Chocolate Creme Frappuccino,Grande,16,380,12,9,0,62,0,62,7,290,0,No,"Ice, 2% milk, white chocolate mocha sauce, whipped cream",No,No,""
Frappuccino,Creme,White Chocolate Creme Frappuccino,Venti,24,450,15,11,0,75,0,75,8,360,0,No,"Ice, 2% milk, white chocolate mocha sauce, whipped cream",No,No,""
Frappuccino,Creme,Chai Creme Frappuccino,Tall,12,230,8,5,0,37,0,35,4,140,40,No,"Ice, 2% milk, chai tea concentrate, classic syrup, whipped cream",No,No,""
Frappuccino,Creme,Chai Creme Frappuccino,Grande,16,340,11,8,0,55,0,53,6,200,55,No,"Ice, 2% milk, chai tea concentrate, classic syrup, whipped cream",No,No,""
Frappuccino,Creme,Chai Creme Frappuccino,Venti,24,420,15,10,0,68,0,66,7,255,70,No,"Ice, 2% milk, chai tea concentrate, classic syrup, whipped cream",No,No,""
Frappuccino,Creme,Chocolate Cookie Crumble Creme Frappuccino,Tall,12,330,14,9,0,49,2,46,5,240,15,No,"Ice, 2% milk, mocha sauce, Frappuccino chips, chocolate cookie crumbles, whipped cream",No,No,""
Frappuccino,Creme,Chocolate Cookie Crumble Creme Frappuccino,Grande,16,460,19,13,0,68,2,65,7,340,20,No,"Ice, 2% milk, mocha sauce, Frappuccino chips, chocolate cookie crumbles, whipped cream",No,No,""
Frappuccino,Creme,Chocolate Cookie Crumble Creme Frappuccino,Venti,24,560,25,16,0,84,3,81,9,425,25,No,"Ice, 2% milk, mocha sauce, Frappuccino chips, chocolate cookie crumbles, whipped cream",No,No,""
Frappuccino,Creme,Caramel Ribbon Crunch Creme Frappuccino,Tall,12,300,11,7,0,49,0,49,4,230,0,No,"Ice, 2% milk, dark caramel sauce, caramel drizzle, caramel sugar, whipped cream",No,No,"No caffeine"
Frappuccino,Creme,Caramel Ribbon Crunch Creme Frappuccino,Grande,16,420,15,10,0,70,0,70,6,330,0,No,"Ice, 2% milk, dark caramel sauce, caramel drizzle, caramel sugar, whipped cream",No,No,""
Frappuccino,Creme,Caramel Ribbon Crunch Creme Frappuccino,Venti,24,510,19,13,0,86,0,86,8,415,0,No,"Ice, 2% milk, dark caramel sauce, caramel drizzle, caramel sugar, whipped cream",No,No,""
Cold Coffee,Iced Espresso,Iced Caffe Americano,Tall,12,10,0,0,0,2,0,0,0,10,150,No,"Espresso shots, cold water, ice",Yes,Yes,""
Cold Coffee,Iced Espresso,Iced Caffe Americano,Grande,16,15,0,0,0,3,0,0,1,15,225,No,"Espresso shots, cold water, ice",Yes,Yes,""
Cold Coffee,Iced Espresso,Iced Caffe Americano,Venti,24,15,0,0,0,3,0,0,1,25,300,No,"Espresso shots, cold water, ice",Yes,Yes,""
Cold Coffee,Iced Espresso,Iced Caffe Latte,Tall,12,100,4,2,0,11,0,10,7,100,75,No,"Espresso, 2% milk, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Caffe Latte,Grande,16,130,5,3,0,14,0,13,9,130,150,No,"Espresso, 2% milk, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Caffe Latte,Venti,24,180,7,4,0,19,0,18,12,180,225,No,"Espresso, 2% milk, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Caramel Macchiato,Tall,12,180,6,3,0,29,0,27,7,115,75,No,"Espresso, 2% milk, vanilla syrup, caramel sauce, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Caramel Macchiato,Grande,16,250,7,4,0,40,0,38,10,160,150,No,"Espresso, 2% milk, vanilla syrup, caramel sauce, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Caramel Macchiato,Venti,24,350,10,5,0,56,0,53,14,225,225,No,"Espresso, 2% milk, vanilla syrup, caramel sauce, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Flat White,Tall,12,110,6,4,0,12,0,11,6,120,130,No,"Ristretto espresso, whole milk, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Flat White,Grande,16,150,8,5,0,16,0,15,9,165,195,No,"Ristretto espresso, whole milk, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Flat White,Venti,24,220,12,7,0,23,0,22,13,245,260,No,"Ristretto espresso, whole milk, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Blonde Vanilla Latte,Tall,12,140,5,3,0,22,0,20,7,110,85,No,"Blonde espresso, 2% milk, vanilla syrup, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Blonde Vanilla Latte,Grande,16,190,7,4,0,29,0,28,9,150,170,No,"Blonde espresso, 2% milk, vanilla syrup, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Blonde Vanilla Latte,Venti,24,270,10,6,0,41,0,39,13,215,255,No,"Blonde espresso, 2% milk, vanilla syrup, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Mocha,Tall,12,260,9,5,0,40,1,37,8,185,75,No,"Espresso, 2% milk, mocha sauce, whipped cream, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Mocha,Grande,16,350,13,7,0,55,2,51,11,255,150,No,"Espresso, 2% milk, mocha sauce, whipped cream, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced Mocha,Venti,24,450,17,9,0,71,2,66,14,335,225,No,"Espresso, 2% milk, mocha sauce, whipped cream, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced White Chocolate Mocha,Tall,12,310,12,7,0,48,0,47,9,220,75,No,"Espresso, 2% milk, white chocolate mocha sauce, whipped cream, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced White Chocolate Mocha,Grande,16,420,16,10,0,65,0,64,12,305,150,No,"Espresso, 2% milk, white chocolate mocha sauce, whipped cream, ice",No,Yes,""
Cold Coffee,Iced Espresso,Iced White Chocolate Mocha,Venti,24,560,21,14,0,86,0,85,16,410,225,No,"Espresso, 2% milk, white chocolate mocha sauce, whipped cream, ice",No,Yes,""
Cold Coffee,Shaken Espresso,Iced Shaken Espresso,Tall,12,80,0,0,0,16,0,15,1,70,255,No,"Espresso, classic syrup, 2% milk, ice",No,Yes,"Shaken with ice"
Cold Coffee,Shaken Espresso,Iced Shaken Espresso,Grande,16,100,0,0,0,21,0,20,1,90,340,No,"Espresso, classic syrup, 2% milk, ice",No,Yes,""
Cold Coffee,Shaken Espresso,Iced Shaken Espresso,Venti,24,160,1,0,0,33,0,31,2,140,510,No,"Espresso, classic syrup, 2% milk, ice",No,Yes,""
Cold Coffee,Shaken Espresso,Iced Brown Sugar Oatmilk Shaken Espresso,Tall,12,100,2,0,0,18,1,14,2,80,255,No,"Espresso, brown sugar syrup, oat milk, cinnamon, ice",Yes,Yes,"Top seller"
Cold Coffee,Shaken Espresso,Iced Brown Sugar Oatmilk Shaken Espresso,Grande,16,120,2,0,0,24,1,19,3,100,340,No,"Espresso, brown sugar syrup, oat milk, cinnamon, ice",Yes,Yes,""
Cold Coffee,Shaken Espresso,Iced Brown Sugar Oatmilk Shaken Espresso,Venti,24,190,4,0,0,36,2,28,4,155,510,No,"Espresso, brown sugar syrup, oat milk, cinnamon, ice",Yes,Yes,""
Cold Coffee,Shaken Espresso,Iced Hazelnut Oatmilk Shaken Espresso,Tall,12,100,2,0,0,20,1,14,2,80,255,No,"Espresso, hazelnut syrup, oat milk, ice",Yes,Yes,""
Cold Coffee,Shaken Espresso,Iced Hazelnut Oatmilk Shaken Espresso,Grande,16,150,3,0,0,28,1,22,3,110,340,No,"Espresso, hazelnut syrup, oat milk, ice",Yes,Yes,""
Cold Coffee,Shaken Espresso,Iced Hazelnut Oatmilk Shaken Espresso,Venti,24,220,4,1,0,41,2,32,4,165,510,No,"Espresso, hazelnut syrup, oat milk, ice",Yes,Yes,""
Cold Coffee,Iced Coffee,Iced Coffee,Tall,12,60,0,0,0,15,0,14,1,10,120,No,"Brewed coffee, ice",Yes,Yes,""
Cold Coffee,Iced Coffee,Iced Coffee,Grande,16,80,0,0,0,20,0,18,1,15,165,No,"Brewed coffee, ice",Yes,Yes,""
Cold Coffee,Iced Coffee,Iced Coffee,Venti,24,120,0,0,0,30,0,27,2,20,235,No,"Brewed coffee, ice",Yes,Yes,""
Cold Coffee,Iced Coffee,Iced Coffee,Trenta,30,160,0,0,0,40,0,36,2,25,285,No,"Brewed coffee, ice",Yes,Yes,""
Cold Coffee,Iced Coffee,Iced Coffee with Milk,Tall,12,80,2,1,0,16,0,15,2,30,120,No,"Brewed coffee, 2% milk, ice",No,Yes,""
Cold Coffee,Iced Coffee,Iced Coffee with Milk,Grande,16,110,3,2,0,21,0,20,3,40,165,No,"Brewed coffee, 2% milk, ice",No,Yes,""
Cold Coffee,Iced Coffee,Iced Coffee with Milk,Venti,24,170,5,3,0,32,0,30,5,65,235,No,"Brewed coffee, 2% milk, ice",No,Yes,""
Cold Coffee,Iced Coffee,Iced Coffee with Milk,Trenta,30,230,7,4,0,44,0,41,7,85,285,No,"Brewed coffee, 2% milk, ice",No,Yes,""
Cold Coffee,Cold Brew,Cold Brew Coffee,Tall,12,5,0,0,0,0,0,0,0,10,155,No,"Cold brew coffee blend, water, ice",Yes,Yes,"Steeped 20+ hours; smooth low-acid"
Cold Coffee,Cold Brew,Cold Brew Coffee,Grande,16,5,0,0,0,0,0,0,1,15,205,No,"Cold brew coffee blend, water, ice",Yes,Yes,""
Cold Coffee,Cold Brew,Cold Brew Coffee,Venti,24,5,0,0,0,0,0,0,1,20,310,No,"Cold brew coffee blend, water, ice",Yes,Yes,""
Cold Coffee,Cold Brew,Cold Brew Coffee,Trenta,30,5,0,0,0,1,0,0,1,25,360,No,"Cold brew coffee blend, water, ice",Yes,Yes,""
Cold Coffee,Cold Brew,Cold Brew Coffee with Milk,Tall,12,25,1,0,0,2,0,2,2,35,155,No,"Cold brew, 2% milk, ice",No,Yes,""
Cold Coffee,Cold Brew,Cold Brew Coffee with Milk,Grande,16,35,1,1,0,3,0,2,2,45,205,No,"Cold brew, 2% milk, ice",No,Yes,""
Cold Coffee,Cold Brew,Cold Brew Coffee with Milk,Venti,24,60,2,1,0,5,0,4,4,75,310,No,"Cold brew, 2% milk, ice",No,Yes,""
Cold Coffee,Cold Brew,Cold Brew Coffee with Milk,Trenta,30,70,2,1,0,6,0,6,5,90,360,No,"Cold brew, 2% milk, ice",No,Yes,""
Cold Coffee,Cold Brew,Nitro Cold Brew,Tall,12,5,0,0,0,0,0,0,0,15,215,No,"Cold brew coffee infused with nitrogen gas",Yes,Yes,"Creamy texture; no ice added"
Cold Coffee,Cold Brew,Nitro Cold Brew,Grande,16,5,0,0,0,0,0,0,1,20,280,No,"Cold brew coffee infused with nitrogen gas",Yes,Yes,""
Cold Coffee,Cold Brew,Vanilla Sweet Cream Cold Brew,Tall,12,90,5,3,0,12,0,12,1,50,185,No,"Cold brew, vanilla syrup, vanilla sweet cream, ice",No,Yes,""
Cold Coffee,Cold Brew,Vanilla Sweet Cream Cold Brew,Grande,16,110,6,4,0,14,0,14,1,60,275,No,"Cold brew, vanilla syrup, vanilla sweet cream, ice",No,Yes,""
Cold Coffee,Cold Brew,Vanilla Sweet Cream Cold Brew,Venti,24,200,11,7,0,26,0,26,2,110,415,No,"Cold brew, vanilla syrup, vanilla sweet cream, ice",No,Yes,""
Cold Coffee,Cold Brew,Vanilla Sweet Cream Cold Brew,Trenta,30,220,13,8,0,28,0,28,2,125,470,No,"Cold brew, vanilla syrup, vanilla sweet cream, ice",No,Yes,""
Cold Coffee,Cold Brew,Vanilla Sweet Cream Nitro Cold Brew,Tall,12,70,5,3,0,8,0,8,1,55,215,No,"Nitro cold brew, vanilla syrup, vanilla sweet cream",No,Yes,""
Cold Coffee,Cold Brew,Vanilla Sweet Cream Nitro Cold Brew,Grande,16,70,5,3,0,8,0,8,1,60,280,No,"Nitro cold brew, vanilla syrup, vanilla sweet cream",No,Yes,""
Cold Coffee,Cold Brew,Salted Caramel Cream Cold Brew,Tall,12,190,7,5,0,30,0,29,2,195,185,No,"Cold brew, caramel syrup, salted cream cold foam, ice",No,Yes,""
Cold Coffee,Cold Brew,Salted Caramel Cream Cold Brew,Grande,16,240,9,6,0,37,0,36,2,245,275,No,"Cold brew, caramel syrup, salted cream cold foam, ice",No,Yes,""
Cold Coffee,Cold Brew,Salted Caramel Cream Cold Brew,Venti,24,270,10,7,0,42,0,41,3,280,415,No,"Cold brew, caramel syrup, salted cream cold foam, ice",No,Yes,""
Cold Coffee,Cold Brew,Salted Caramel Cream Cold Brew,Trenta,30,300,12,8,0,47,0,46,3,315,470,No,"Cold brew, caramel syrup, salted cream cold foam, ice",No,Yes,""
Cold Coffee,Cold Brew,Chocolate Cream Cold Brew,Tall,12,190,8,5,0,27,1,25,3,170,185,No,"Cold brew, vanilla syrup, chocolate cream cold foam, mocha drizzle, ice",No,Yes,""
Cold Coffee,Cold Brew,Chocolate Cream Cold Brew,Grande,16,250,11,7,0,35,1,33,4,220,275,No,"Cold brew, vanilla syrup, chocolate cream cold foam, mocha drizzle, ice",No,Yes,""
Cold Coffee,Cold Brew,Chocolate Cream Cold Brew,Venti,24,300,13,9,0,42,1,40,5,265,415,No,"Cold brew, vanilla syrup, chocolate cream cold foam, mocha drizzle, ice",No,Yes,""
Cold Coffee,Cold Brew,Chocolate Cream Cold Brew,Trenta,30,320,14,9,0,45,1,43,5,285,470,No,"Cold brew, vanilla syrup, chocolate cream cold foam, mocha drizzle, ice",No,Yes,""
Cold Coffee,Cold Brew,Cinnamon Caramel Cream Cold Brew,Tall,12,200,8,5,0,30,0,29,2,200,185,No,"Cold brew, cinnamon dolce syrup, cinnamon caramel cream cold foam, ice",No,Yes,""
Cold Coffee,Cold Brew,Cinnamon Caramel Cream Cold Brew,Grande,16,250,10,6,0,38,0,37,3,250,275,No,"Cold brew, cinnamon dolce syrup, cinnamon caramel cream cold foam, ice",No,Yes,""
Cold Coffee,Cold Brew,Cinnamon Caramel Cream Cold Brew,Venti,24,270,11,7,0,40,0,39,3,270,415,No,"Cold brew, cinnamon dolce syrup, cinnamon caramel cream cold foam, ice",No,Yes,""
Cold Coffee,Cold Brew,Cinnamon Caramel Cream Cold Brew,Trenta,30,340,13,8,0,51,0,50,4,340,470,No,"Cold brew, cinnamon dolce syrup, cinnamon caramel cream cold foam, ice",No,Yes,""
Cold Coffee,Cold Brew,Cinnamon Caramel Cream Nitro Cold Brew,Tall,12,180,8,5,0,27,0,27,2,195,215,No,"Nitro cold brew, cinnamon dolce syrup, cinnamon caramel cream cold foam",No,Yes,""
Cold Coffee,Cold Brew,Cinnamon Caramel Cream Nitro Cold Brew,Grande,16,260,12,8,0,38,0,37,3,285,280,No,"Nitro cold brew, cinnamon dolce syrup, cinnamon caramel cream cold foam",No,Yes,""
Cold Coffee,Reserve,Starbucks Reserve Cold Brew,Tall,12,5,0,0,0,0,0,0,0,10,200,No,"Reserve cold brew blend, water, ice",Yes,Yes,"Reserve bars only"
Cold Coffee,Reserve,Starbucks Reserve Cold Brew,Grande,16,5,0,0,0,0,0,0,1,15,265,No,"Reserve cold brew blend, water, ice",Yes,Yes,""
Cold Coffee,Reserve,Starbucks Reserve Nitro Cold Brew,Tall,12,5,0,0,0,0,0,0,0,15,265,No,"Reserve cold brew, nitrogen infused",Yes,Yes,"Reserve bars only"
Cold Coffee,Reserve,Starbucks Reserve Iced Latte,Tall,12,150,8,5,0,14,0,13,7,130,195,No,"Reserve espresso, whole milk, ice",No,Yes,""
Cold Coffee,Reserve,Starbucks Reserve Iced Latte,Grande,16,210,11,7,0,19,0,18,10,185,260,No,"Reserve espresso, whole milk, ice",No,Yes,""
Cold Coffee,Reserve,Starbucks Reserve Iced Dark Chocolate Mocha,Tall,12,210,8,5,0,31,2,28,7,185,175,No,"Reserve espresso, dark chocolate sauce, steamed 2% milk, ice",No,Yes,""
Cold Coffee,Reserve,Starbucks Reserve Iced Dark Chocolate Mocha,Grande,16,260,10,6,0,39,3,35,9,235,230,No,"Reserve espresso, dark chocolate sauce, steamed 2% milk, ice",No,Yes,""
Cold Coffee,Reserve,Starbucks Reserve Iced Hazelnut Bianco Latte,Tall,12,210,11,6,0,27,0,26,7,135,195,No,"Reserve espresso, hazelnut praline sauce, whole milk, ice",No,Yes,""
Cold Coffee,Reserve,Starbucks Reserve Iced Hazelnut Bianco Latte,Grande,16,280,14,8,0,36,0,35,10,185,260,No,"Reserve espresso, hazelnut praline sauce, whole milk, ice",No,Yes,""
Cold Coffee,Reserve,Oleato Golden Foam Cold Brew,Tall,12,330,20,4,0,28,0,23,3,115,185,No,"Cold brew, golden olive oil foam (olive oil, vanilla syrup, oat milk)",Yes,Yes,"Olive oil cold foam"
Cold Coffee,Reserve,Oleato Golden Foam Cold Brew,Grande,16,380,23,5,0,35,0,29,3,140,275,No,"Cold brew, golden olive oil foam",Yes,Yes,""
Cold Coffee,Reserve,Oleato Golden Foam Cold Brew,Venti,24,400,24,5,0,38,0,32,4,150,415,No,"Cold brew, golden olive oil foam",Yes,Yes,""
Cold Coffee,Reserve,Oleato Golden Foam Cold Brew,Trenta,30,450,27,6,0,42,0,36,4,170,470,No,"Cold brew, golden olive oil foam",Yes,Yes,""
Cold Coffee,Reserve,Oleato Golden Foam Iced Shaken Espresso,Tall,12,310,19,3,0,34,0,30,3,170,255,No,"Espresso, toffee nut syrup, golden olive oil foam, ice",Yes,Yes,""
Cold Coffee,Reserve,Oleato Golden Foam Iced Shaken Espresso,Grande,16,360,22,4,0,40,0,36,4,200,340,No,"Espresso, toffee nut syrup, golden olive oil foam, ice",Yes,Yes,""
Cold Coffee,Reserve,Iced Caffe Americano (Reserve),Tall,12,10,0,0,0,2,0,0,0,10,150,No,"Reserve espresso, cold water, ice",Yes,Yes,""
Iced Tea,Black Tea,Iced Black Tea,Tall,12,0,0,0,0,0,0,0,0,10,25,No,"Black tea, water, ice",Yes,Yes,"Unsweetened by default"
Iced Tea,Black Tea,Iced Black Tea,Grande,16,0,0,0,0,0,0,0,0,15,35,No,"Black tea, water, ice",Yes,Yes,""
Iced Tea,Black Tea,Iced Black Tea,Venti,24,0,0,0,0,0,0,0,0,20,50,No,"Black tea, water, ice",Yes,Yes,""
Iced Tea,Black Tea,Iced Black Tea,Trenta,30,0,0,0,0,0,0,0,0,25,65,No,"Black tea, water, ice",Yes,Yes,""
Iced Tea,Black Tea,Iced Black Tea Lemonade,Tall,12,35,0,0,0,9,0,8,0,10,25,No,"Black tea, lemonade, ice",Yes,Yes,""
Iced Tea,Black Tea,Iced Black Tea Lemonade,Grande,16,50,0,0,0,13,0,12,0,15,35,No,"Black tea, lemonade, ice",Yes,Yes,""
Iced Tea,Black Tea,Iced Black Tea Lemonade,Venti,24,70,0,0,0,18,0,17,0,20,50,No,"Black tea, lemonade, ice",Yes,Yes,""
Iced Tea,Black Tea,Iced Black Tea Lemonade,Trenta,30,90,0,0,0,24,0,23,0,25,65,No,"Black tea, lemonade, ice",Yes,Yes,""
Iced Tea,Green Tea,Iced Green Tea,Tall,12,0,0,0,0,0,0,0,0,10,25,No,"Green tea, water, ice",Yes,Yes,"Unsweetened by default"
Iced Tea,Green Tea,Iced Green Tea,Grande,16,0,0,0,0,0,0,0,0,15,35,No,"Green tea, water, ice",Yes,Yes,""
Iced Tea,Green Tea,Iced Green Tea,Venti,24,0,0,0,0,0,0,0,0,20,50,No,"Green tea, water, ice",Yes,Yes,""
Iced Tea,Green Tea,Iced Green Tea,Trenta,30,0,0,0,0,0,0,0,0,25,65,No,"Green tea, water, ice",Yes,Yes,""
Iced Tea,Green Tea,Iced Green Tea Lemonade,Tall,12,35,0,0,0,9,0,8,0,10,25,No,"Green tea, lemonade, ice",Yes,Yes,""
Iced Tea,Green Tea,Iced Green Tea Lemonade,Grande,16,50,0,0,0,13,0,12,0,15,35,No,"Green tea, lemonade, ice",Yes,Yes,""
Iced Tea,Green Tea,Iced Green Tea Lemonade,Venti,24,70,0,0,0,18,0,17,0,20,50,No,"Green tea, lemonade, ice",Yes,Yes,""
Iced Tea,Green Tea,Iced Green Tea Lemonade,Trenta,30,90,0,0,0,24,0,23,0,25,65,No,"Green tea, lemonade, ice",Yes,Yes,""
Iced Tea,Herbal Tea,Iced Passion Tango Tea,Tall,12,0,0,0,0,0,0,0,0,10,0,No,"Hibiscus tea blend (hibiscus, apple, cinnamon, licorice root), water, ice",Yes,Yes,"Caffeine-free; vibrant pink"
Iced Tea,Herbal Tea,Iced Passion Tango Tea,Grande,16,0,0,0,0,0,0,0,0,15,0,No,"Hibiscus tea blend, water, ice",Yes,Yes,""
Iced Tea,Herbal Tea,Iced Passion Tango Tea,Venti,24,0,0,0,0,0,0,0,0,20,0,No,"Hibiscus tea blend, water, ice",Yes,Yes,""
Iced Tea,Herbal Tea,Iced Passion Tango Tea,Trenta,30,0,0,0,0,0,0,0,0,25,0,No,"Hibiscus tea blend, water, ice",Yes,Yes,""
Iced Tea,Herbal Tea,Iced Passion Tango Tea Lemonade,Tall,12,35,0,0,0,9,0,8,0,10,0,No,"Hibiscus tea blend, lemonade, ice",Yes,Yes,"Caffeine-free"
Iced Tea,Herbal Tea,Iced Passion Tango Tea Lemonade,Grande,16,50,0,0,0,13,0,12,0,15,0,No,"Hibiscus tea blend, lemonade, ice",Yes,Yes,""
Iced Tea,Herbal Tea,Iced Passion Tango Tea Lemonade,Venti,24,70,0,0,0,18,0,17,0,20,0,No,"Hibiscus tea blend, lemonade, ice",Yes,Yes,""
Iced Tea,Herbal Tea,Iced Passion Tango Tea Lemonade,Trenta,30,90,0,0,0,24,0,23,0,25,0,No,"Hibiscus tea blend, lemonade, ice",Yes,Yes,""
Iced Tea,Peach Tea,Iced Peach Green Tea,Tall,12,45,0,0,0,11,0,10,0,10,25,No,"Green tea, peach juice, water, ice",Yes,Yes,""
Iced Tea,Peach Tea,Iced Peach Green Tea,Grande,16,60,0,0,0,15,0,14,0,15,35,No,"Green tea, peach juice, water, ice",Yes,Yes,""
Iced Tea,Peach Tea,Iced Peach Green Tea,Venti,24,90,0,0,0,23,0,22,0,20,50,No,"Green tea, peach juice, water, ice",Yes,Yes,""
Iced Tea,Peach Tea,Iced Peach Green Tea,Trenta,30,120,0,0,0,30,0,28,0,25,65,No,"Green tea, peach juice, water, ice",Yes,Yes,""
Iced Tea,Peach Tea,Iced Peach Green Tea Lemonade,Tall,12,60,0,0,0,16,0,15,0,10,25,No,"Green tea, peach juice, lemonade, ice",Yes,Yes,""
Iced Tea,Peach Tea,Iced Peach Green Tea Lemonade,Grande,16,80,0,0,0,21,0,20,0,15,35,No,"Green tea, peach juice, lemonade, ice",Yes,Yes,""
Iced Tea,Peach Tea,Iced Peach Green Tea Lemonade,Venti,24,130,0,0,0,33,0,32,0,20,50,No,"Green tea, peach juice, lemonade, ice",Yes,Yes,""
